,Kasus harian,Kasus Impor,Kasus Lokal,Total kasus,Kasus aktif,% kasus aktif,"Sembuh
(baru)",Sembuh,Tingkat kesembuhan (seluruh kasus),Tingkat kesembuhan (closed cases),"Meninggal
(baru)","Meninggal
Dunia",Tingkat kematian (seluruh kasus),Tingkat kematian (closed cases),PDP,ODP,Suspek aktif,Jumlah spesimen diperiksa (dari 1 April),Jumlah orang diperiksa,Negatif,"Positif 
(=C)",Dalam Proses,Spesimen,Spesimen (PCR-TCM),Spesimen (Antigen),Orang yang dites,Orang yang dites (PCR-TCM),Orang yang dites (Antigen),Vaksinasi (ineligible),Jumlah test/juta penduduk,Test/Positif,Jumlah org yg dites / positif,Jumlah Test/Positif harian,Positif / Jumlah Tes,Positive rate harian,Case Growth Rate,Tingkat positivitas mingguan,Jumlah spesimen diperiksa (rata-rata 7 hari),Jumlah orang diperiksa (rata-rata 7 hari),Rasio spesimen/orang diperiksa (rata-rata 7 hari),,Dosis pertama,Dosis kedua,Dosis ketiga,Dosis pertama (%),Dosis kedua (%),Dosis pertama (harian),Dosis kedua (harian),Dosis harian,Dosis pertama (mingguan),Dosis kedua (mingguan),Rata2 dosis harian (mingguan),Dosis pertama (SDM kesehatan),Dosis kedua (SDM kesehatan),Dosis ketiga (SDM kesehatan),Dosis pertama (SDM kesehatan) %,Dosis kedua (SDM kesehatan) %,Dosis pertama (petugas publik),Dosis kedua (petugas publik),Dosis pertama (petugas publik) %,Dosis kedua (petugas publik) %,Dosis pertama (lansia),Dosis kedua (lansia),Dosis pertama (lansia) %,Dosis kedua (lansia) %,Dosis pertama (warga umum),Dosis kedua (warga umum),Dosis pertama (remaja),Dosis kedua (remaja),Dosis pertama (Vakgor),Dosis kedua (Vakgor),Test PCR Orang Nasional Rata-rata 7 hari,Pos Rate Nasional - rata-rata 7 hari,Test Orang DKI,Positif DKI,,Pos Rate DKI,Pos Rate DKI - 7 harian,NON DKI,Positif Non DKI,,Pos Rate Non DKI,Pos Rate Non DKI - 7 harian,CFR
4/1/2020,113,,,"1,790",1508,84.25%,9,112,6.26%,39.72%,13,170,9.50%,60.28%,,,,"7,425","7,425","5,635","1,790",0,,,,232,,,,28,4.15,4.15,2.05,24.11%,48.71%,6.74%,29.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.48%
4/2/2020,196,,,"1,986",1671,84.14%,22,134,6.75%,42.54%,11,181,9.11%,57.46%,,,,"7,986","7,986","5,715","1,986",285,,,,561,,,,30,4.02,4.02,2.86,24.87%,71.01%,10.95%,42.51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.27%
4/3/2020,106,,,"2,092",1751,83.70%,16,150,7.17%,43.99%,10,191,9.13%,56.01%,,,,"9,712","9,712","7,620","2,092",0,,,,"1,726",,,,36,4.64,4.64,16.28,21.54%,5.27%,5.34%,27.19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.69%
4/4/2020,181,,,"2,273",1911,84.07%,14,164,7.22%,45.30%,7,198,8.71%,54.70%,,,,"11,242","11,242","8,969","2,273",0,,,,"1,530",,,,42,4.95,4.95,8.45,20.22%,11.83%,8.65%,20.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.11%
4/5/2020,218,,,"2,491",2090,83.90%,28,192,7.71%,47.88%,11,209,8.39%,52.12%,,,,"13,186","13,186","10,695","2,491",0,,,,"1,944",,,,49,5.29,5.29,8.92,18.89%,11.21%,9.59%,16.51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.77%
4/6/2020,247,,,"2,738",2313,84.48%,12,204,7.45%,48.00%,12,221,8.07%,52.00%,,,,"14,353","14,353","11,615","2,738",0,,,,"1,167",,,,53,5.24,5.24,4.72,19.08%,21.17%,9.92%,15.97%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.40%
4/7/2020,218,,,"2,956",2494,84.37%,18,222,7.51%,48.05%,19,240,8.12%,51.95%,,,,"16,511","16,511","13,555","2,956",0,,,,"2,158",,,,61,5.59,5.59,9.9,17.90%,10.10%,7.96%,13.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.29%
4/8/2020,337,,,"3,293",2761,83.84%,30,252,7.65%,47.37%,40,280,8.50%,52.63%,,,,"17,679","17,679","14,386","3,293",0,,,,"1,168",,,,65,5.37,5.37,3.47,18.63%,28.85%,11.40%,14.66%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.09%
4/9/2020,219,,,"3,512",2924,83.26%,30,282,8.03%,47.96%,26,306,8.71%,52.04%,,,,"19,452","19,452","15,940","3,512",0,,,,"1,773",,,,72,5.54,5.54,8.1,18.05%,12.35%,6.65%,13.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.80%
4/10/2020,330,,,"3,842",3229,84.04%,4,286,7.44%,46.66%,21,327,8.51%,53.34%,,,,"19,964","19,964","16,122","3,842",0,,,,512,,,,74,5.2,5.2,1.55,19.24%,64.45%,9.40%,17.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.12%
